tmdbId,title,director,releaseYear,language,posterPath
28,Apocalypse Now,Francis Ford Coppola,1979,en,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg
99,All About My Mother,Pedro Almodóvar,1999,es,/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg
144,Wings of Desire,Wim Wenders,1987,de,/iZQs2vUeCzvS1KfZJ6uYNCGJBBV.jpg
146,"Crouching Tiger, Hidden Dragon",Ang Lee,2000,zh,/iNDVBFNz4XyYzM9Lwip6atSTFqf.jpg
194,Amélie,Jean-Pierre Jeunet,2001,fr,/nSxDa3M9aMvGVLoItzWTepQ5h5d.jpg
239,Some Like It Hot,Billy Wilder,1959,en,/uRomZf1LmLtX4ZiL3B7lZEFNMAn.jpg
260,The 39 Steps,Alfred Hitchcock,1935,en,/oC81jK6aAug4MA0xzYVngHmjsZS.jpg
294,Desert Hearts,Donna Deitch,1985,en,/klAHoWOZgL8sR74Tnl7K7z4Lziq.jpg
345,Eyes Wide Shut,Stanley Kubrick,1999,en,/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg
405,La Strada,Federico Fellini,1954,it,/rwjbT0zlsUDMztaCcWjlWuxaEL1.jpg
426,Vertigo,Alfred Hitchcock,1958,en,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg
445,Caché,Michael Haneke,2005,fr,/8ZD7gltGg5c4EvNrOMFy9hwYKxR.jpg
455,Bend It Like Beckham,Gurinder Chadha,2002,en,/2dzSBmFWWqt8NbnubJKIWU21Y86.jpg
468,My Own Private Idaho,Gus Van Sant,1991,en,/p9TF90Pb5yg2MNb2UztzyXktMm4.jpg
480,Monsoon Wedding,Mira Nair,2001,hi,/vCwkv7tYFem0tQ9Duoq2MX7T7Zd.jpg
483,Wild at Heart,David Lynch,1990,en,/uLUFI5sJIfWrBUWB2Y1dEuyvvVy.jpg
521,Dial M for Murder,Alfred Hitchcock,1954,en,/4KKiFDvtEusJzqzlwHp7iMceXKS.jpg
567,Rear Window,Alfred Hitchcock,1954,en,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg
592,The Conversation,Francis Ford Coppola,1974,en,/dHqVBwcv1SGymOpUueRoKzcmdes.jpg
599,Sunset Boulevard,Billy Wilder,1950,en,/zt8aQ6ksqK6p1AopC5zVTDS9pKT.jpg
638,Lost Highway,David Lynch,1997,en,/fdTtij6H0sX9AzIjUeynh5zbfm7.jpg
649,Belle de Jour,Luis Buñuel,1967,fr,/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg
651,M*A*S*H,Robert Altman,1970,en,/on8Q9LhtHYNhmITjUMpgOUkIG8o.jpg
655,"Paris, Texas",Wim Wenders,1984,en,/sP27Qm4THyRZyHjHYMfIDtJP6YE.jpg
778,Monsieur Hulot's Holiday,Jacques Tati,1953,fr,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg
779,Vampyr,Carl Theodor Dreyer,1932,de,/m7BKgeW06cgW5512wukfGhLsWGL.jpg
793,Blue Velvet,David Lynch,1986,en,/tzXuURjPzCqtA6eL0Cswq9wzFx0.jpg
797,Persona,Ingmar Bergman,1966,sv,/v2KsLNChpT6vLf0YFhkJmAtGkNq.jpg
816,Austin Powers: International Man of Mystery,Jay Roach,1997,en,/5uD4dxNX8JKFjWKYMHyOsqhi5pN.jpg
832,M,Fritz Lang,1931,de,/bTdZk3q2DWpBRnLiaaItKFWOVhI.jpg
872,Singin' in the Rain,"Stanley Donen,Gene Kelly",1952,en,/w03EiJVHP8Un77boQeE7hg9DVdU.jpg
992,Sherlock Jr.,Buster Keaton,1924,en,/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg
1051,The French Connection,William Friedkin,1971,en,/5XSGvIKl2yPvOkieFjc3rzLw7x0.jpg
1089,Point Break,Kathryn Bigelow,1991,en,/tlbERIghrQ4oofqlbF7H0K0EYnx.jpg
1398,Stalker,Andrei Tarkovsky,1979,ru,/1qhOyf5C4s9ZdvY8d5JDx9DFMeT.jpg
1480,Touch of Evil,Orson Welles,1958,en,/viru7KcgTURKPZhQ5GhGsDwQrlg.jpg
1678,Godzilla,Ishirō Honda,1954,ja,/2W0Yw0qrgVMgdsSCZRKtfvaAh0i.jpg
1808,Velvet Goldmine,Todd Haynes,1998,en,/bsuSac0PldPFcOtR1Vioe7VBF4l.jpg
1811,Nowhere,Gregg Araki,1997,en,/c1TZKfzvATep5x5DthqWjjWtU2l.jpg
1923,Twin Peaks: Fire Walk with Me,David Lynch,1992,en,/mxsGXqetGnirf99qapYd5MMY1VL.jpg
1939,Laura,Otto Preminger,1944,en,/j0zEiFFrdbZnMXqD3piOtZBJeNB.jpg
2039,Moonstruck,Norman Jewison,1987,en,/2mnVWpvsHEHHnfvLn1NXYVvBGl5.jpg
2059,National Treasure,Jon Turteltaub,2004,en,/pxL6E4GBOPUG6CdkO9cUQN5VMwI.jpg
2469,Tie Me Up! Tie Me Down!,Pedro Almodóvar,1990,es,/4eNyqA543ixNCME8pcADgP9wb1i.jpg
2493,The Princess Bride,Rob Reiner,1987,en,/2FC9L9MrjBoGHYjYZjdWQdopVYb.jpg
2501,The Bourne Identity,Doug Liman,2002,en,/aP8swke3gmowbkfZ6lmNidu0y9p.jpg
2574,The Lovers,Louis Malle,1958,fr,/5WxZp3XpCnK1EQ6D8XASbpCkrzO.jpg
2758,Addams Family Values,Barry Sonnenfeld,1993,en,/sdxT2VjVSx9DRicwnuECUdBHeE7.jpg
2907,The Addams Family,Barry Sonnenfeld,1991,en,/qFf8anju5f2epI0my8RdwwIXFIP.jpg
3078,It Happened One Night,Frank Capra,1934,en,/wx4ptyx3vlPBVl5DzBA8KomcJww.jpg
3133,Badlands,Terrence Malick,1974,en,/z81rBzHNgiNLean2JTGHgxjJ8nq.jpg
4203,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,1988,es,/8C5FJlUo96pj1xAs2BKnB58PYzi.jpg
4269,A Room in Town,Jacques Demy,1982,fr,/eDO1onM1IxTouTFSXM747Wd7Psj.jpg
4499,"Pepi, Luci, Bom",Pedro Almodóvar,1980,es,/xL72JwMDJLGZBUtXgjx7eERJ8nj.jpg
4558,Orpheus,Jean Cocteau,1950,fr,/wcUmMtipWBBx7lpsfpPsUM4Snh1.jpg
4710,Masculin Féminin,Jean-Luc Godard,1966,fr,/AroNQnZiqjJOWf32lLNZUzWlGvd.jpg
4977,Paprika,Satoshi Kon,2006,ja,/bLUUr474Go1DfeN1HLjE3rnZXBq.jpg
5165,L'Avventura,Michelangelo Antonioni,1960,it,/waQPqPYLouGJXDYGqXmpyLN4PLA.jpg
5279,Gosford Park,Robert Altman,2001,en,/mQlmUTLxFG5irSVHlvIxRHCCjKf.jpg
5511,Le Samouraï,Jean-Pierre Melville,1967,fr,/5Fa6o5nfUPEatQ9b3OwEvdEdR7T.jpg
5590,Donkey Skin,Jacques Demy,1970,fr,/zRKRCvQBe54WxhHXR8S2JTBQUXE.jpg
5683,Pee-wee's Big Adventure,Tim Burton,1985,en,/414IUXc54mrhX88ZUQiRDLXn01i.jpg
5961,Fanny and Alexander,Ingmar Bergman,1982,sv,/q8jlA3Wc1Z987hNKRFA44g5OugC.jpg
6114,Bram Stoker's Dracula,Francis Ford Coppola,1992,en,/n39glC4GkBeCbwdenES8ZBodim8.jpg
6296,Who Killed Santa Claus?,Christian-Jaque,1941,fr,/xScDM79VloXlS53zZHiiHgl0add.jpg
6404,Nosferatu the Vampyre,Werner Herzog,1979,de,/jHKzGYwf7P34vz8MhJBTN6cnaYD.jpg
8047,Matador,Pedro Almodóvar,1986,es,/gJJFkADuwOzDesxuP2jH1WbvFzA.jpg
8220,Dark Habits,Pedro Almodóvar,1983,es,/AB9cm20W0lGebbI39swUmdYZAV.jpg
8221,What Have I Done to Deserve This?,Pedro Almodóvar,1984,es,/fcvNzyRQnzgUm31mpRhrq5L7nkY.jpg
8333,The Taking of Pelham One Two Three,Joseph Sargent,1974,en,/vNhywp9w1DVG6BytxKp4kjtaaGC.jpg
9056,Police Story,Jackie Chan,1985,cn,/1eFB0Iy1TMU4VO5hMcoCE064JAT.jpg
9303,Bound,"Lana Wachowski,Lilly Wachowski",1996,en,/9qAy6UWVw44dGrsyKrdEMt5qIUM.jpg
9447,Babe: Pig in the City,George Miller,1998,en,/glO6LcTWUZcbxWT2SB4eRDnFSsP.jpg
9538,Scanners,David Cronenberg,1981,en,/VTqLdveNXxGsIAZL5I4RliTTt7.jpg
9611,Romy and Michele's High School Reunion,David Mirkin,1997,en,/yLxgglhaP2QfWVZTdrv7mZgvuHL.jpg
9846,To Live and Die in L.A.,William Friedkin,1985,en,/2iW3pSihBIhXjnBQmUJ0mAiZbB5.jpg
10241,A Tale of Winter,Éric Rohmer,1992,fr,/uHmgUZXl7qkgu97E5ruDetLyDPt.jpg
10310,The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,1972,de,/bkxrRfXaoTvZObG1Gd91x2mnmFX.jpg
10830,Matilda,Danny DeVito,1996,en,/wYoDpWInsBEVSmWStnRH06ddoyk.jpg
10874,Muppet Treasure Island,Brian Henson,1996,en,/k4KW2CUkzDKaCy4H4cS02cO8gvV.jpg
11000,The Birdcage,Mike Nichols,1996,en,/hU2XeckncHS61TWZKDtw1BrKmOO.jpg
11054,Hairspray,John Waters,1988,en,/n78VVWG1jsEpMCtcye13wy1RiAx.jpg
11553,Millennium Mambo,Hou Hsiao-hsien,2001,zh,/wSc6tOp1yoAFbZqxG5XVGHcFvRN.jpg
11698,Stroszek,Werner Herzog,1977,de,/wDq9ytRxoVpICRcx1BvagmXhd4t.jpg
11700,Smiles of a Summer Night,Ingmar Bergman,1955,sv,/wKeV8lKz8k9DDBCw6MJ9MkhvhqF.jpg
11878,Yojimbo,Akira Kurosawa,1961,ja,/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg
12493,High and Low,Akira Kurosawa,1963,ja,/tgNjemQPG96uIezpiUiXFcer5ga.jpg
13398,Tokyo Godfathers,Satoshi Kon,2003,ja,/sPC66btzQlzuRdPKiSDYZ5Hvxgc.jpg
14269,Polyester,John Waters,1981,en,/14RfMqOe8eF17bUajPsy4HtRsVC.jpg
14626,Beau Travail,Claire Denis,2000,fr,/bEJzBtPuuuWKUDWlGPET2DXhWqU.jpg
14698,"Suddenly, Last Summer",Joseph L. Mankiewicz,1959,en,/igma0zn9J5srRvOMDRnxyUDQXJL.jpg
16391,Black Narcissus,"Emeric Pressburger,Michael Powell",1947,en,/jSbFWWbkUq5N5ikewJHNATcWnxS.jpg
16672,Woman in the Dunes,Hiroshi Teshigahara,1964,ja,/f0JpsMQ9oEjKBD66Ky3qK3z7LGT.jpg
17478,Dhoom,Sanjay Gadhvi,2004,hi,/A7fxXAsuYEohxYNl8YeH3FYkuDv.jpg
17905,Branded to Kill,Seijun Suzuki,1967,ja,/asiSCq1SFrCV4gy7PJzw8c3m0yL.jpg
18329,Happy Together,Wong Kar-Wai,1997,cn,/dAyUTgO1BGuEZhF3f2G8V9d8sXM.jpg
18352,The Cremator,Juraj Herz,1969,cs,/9or2Jzw9HOE4gp9niwXBkZdpTVx.jpg
19542,The Red Shoes,"Michael Powell,Emeric Pressburger",1948,en,/tRpm0MNYoMOgyumL9ePI3wB2P9V.jpg
20345,The Bird with the Crystal Plumage,Dario Argento,1970,it,/dpALRkwodEIT7TGX9SqTgwVNn0i.jpg
21265,Maqbool,Vishal Bhardwaj,2003,hi,/8ULTBxnbt0NrWlDm5fahbQooj91.jpg
21462,Masoom,Shekhar Kapur,1983,hi,/a2PVNqiTbALVhyQVuqDMROy21Pt.jpg
21594,The Blue Gardenia,Fritz Lang,1953,en,/1RwM1jUx5XV4Q9DxcOVubmk5laH.jpg
21968,Super Fly,Gordon Parks Jr.,1972,en,/lCj4IZ9l8NfOEiM4zHq3BRF2LzX.jpg
24163,As Tears Go By,Wong Kar-Wai,1988,cn,/2ePFbsguw4d9UZ3hA61vCUQOBhh.jpg
25623,House,Nobuhiko Obayashi,1977,ja,/tXlEgAJkGQuE9Vm6ppYERUBmdDM.jpg
25670,Foreign Correspondent,Alfred Hitchcock,1940,en,/n0WX6eIdIliKB66MI2MWZ3wHsoJ.jpg
26191,35 Shots of Rum,Claire Denis,2009,fr,/6m3G7rRLZsCobQrI1Q3gyHwhfAp.jpg
26259,Come Drink with Me,King Hu,1966,zh,/bVQhrpCfMZy8YoiAmbze1qWIoho.jpg
27034,Desert Fury,Lewis Allen,1947,en,/gNZsrXGmhz1KNMxz5I6Tzu2bthc.jpg
27053,Daybreak,Marcel Carné,1939,fr,/pnyHLvLKl18py7OKCWHMs0FdYW7.jpg
27062,Lan Yu,Stanley Kwan Kam-Pang,2001,zh,/kiqzWsQFKPGDPhZV31DESl9JMhH.jpg
27397,Crossing Delancey,Joan Micklin Silver,1988,en,/62GF6vgxIvEpSPrH0WXHtCHm3zB.jpg
27560,Cry of the Hunted,Joseph H. Lewis,1953,en,/1ZcsGaXzSXZOjtviSaPI2HjzjNG.jpg
28041,The Girl Who Knew Too Much,Mario Bava,1963,it,/14z6WFMEoFdVEKhEGJQuGk9vU8q.jpg
28055,Blood and Black Lace,Mario Bava,1964,it,/zYCQjsdktEvlWTRap836iI5paEL.jpg
28580,The Lost Weekend,Billy Wilder,1945,en,/yL6EJxPeYIcB9TChm56lHqXKzHC.jpg
28942,The Brood,David Cronenberg,1979,en,/zSEt4QXRI4Gypd9xvzvucOmPNl5.jpg
29005,McCabe & Mrs. Miller,Robert Altman,1971,en,/eQ9hDaTNpZ4wb7FWdqoJcOCJBve.jpg
29161,Phenomena,Dario Argento,1985,en,/8u14C2FLMSCLIT5znmye6RovonO.jpg
30017,Close-Up,Abbas Kiarostami,1990,fa,/m9HG2N9ZKCmNN9qOHJTNyy18wn3.jpg
30020,Taste of Cherry,Abbas Kiarostami,1997,fa,/vgPwjgbSdbYWrS1ty8TIZtmi6Tn.jpg
30959,Kwaidan,Masaki Kobayashi,1965,ja,/vmYhFcA2YC15hoL44hQziba75Ij.jpg
31417,Eyes Without a Face,Georges Franju,1960,fr,/8y7Z9Gvcq52uOlJlUWyn2epGGRd.jpg
31522,A Woman Is a Woman,Jean-Luc Godard,1961,fr,/xrZu21hriGJQY3qY8nifh2smVHu.jpg
31767,The Devils,Ken Russell,1971,en,/y1k7eiOFc6fzm8XeTa1kNGx6JIs.jpg
33247,The Living End,Gregg Araki,1992,en,/A5sVzb9PynBgXzr0cahDguzC3Zc.jpg
33560,Totally F***ed Up,Gregg Araki,1994,en,/nWC3bUnQEMU5DDDNxpG4VYMuu6B.jpg
34574,Nadja,Michael Almereyda,1995,en,/x5svJ0haKYI6VXdJ01q9IYHFz8X.jpg
35125,Taxi zum Klo,Frank Ripploh,1981,de,/zJHMI2UQ9LSA3OLqwb0oBw4greq.jpg
36351,Light Sleeper,Paul Schrader,1992,en,/9vOyeRXNIxosjL3lxWUAVmKmvBE.jpg
36872,When a Woman Ascends the Stairs,Mikio Naruse,1960,ja,/miGb5TwM8SIK5URe0mPMOYZqr3g.jpg
36877,The Blood of a Poet,Jean Cocteau,1932,fr,/paHmfMrtQVT2cUTeteni3iDgRym.jpg
37719,A Night at the Opera,Sam Wood,1935,en,/A4YDGfJwaG7aMxDVrVJsOHJ7ufK.jpg
40149,Kuroneko,Kaneto Shindō,1968,ja,/43LZYSBRMZoi9QdYntkGXhLSMeI.jpg
40427,Crimson Gold,Jafar Panahi,2003,fa,/5faNHWvJ7RdSiUKT07MJNhwkSKe.jpg
40641,Lola,Jacques Demy,1961,fr,/ddJZdZAeMyZimCdydwzB0g803qL.jpg
40723,Trouble Every Day,Claire Denis,2001,fr,/jn4799m6uB5P6ZUarlnxvZEZDFp.jpg
40882,The Mirror,Jafar Panahi,1997,fa,/fHaXxFGSEuvCUYau3jIxMAwU5T6.jpg
40939,Alexandria… Why?,Youssef Chahine,1979,ar,/k68nAl2BJpX9405UCqs4Xhw2S7n.jpg
41662,3 Women,Robert Altman,1977,en,/uL5Yg8MEgHGXymTaJBYXn9g0xsH.jpg
41789,Jacquot,Agnès Varda,1991,fr,/pBZ7IzqUZBBqWpnppJWzWpgUBTD.jpg
42124,Burden of Dreams,Les Blank,1982,en,/qJuD9yZ7Mn9QCVqKO9WarNNYo4R.jpg
42135,Querelle,Rainer Werner Fassbinder,1982,en,/cNATtWnC7DJYOnbKTlHbQ58bVd9.jpg
42497,Pink Narcissus,James Bidgood,1971,en,/kaZiiGE6820KyFF9XkzPB9Rx9qn.jpg
42995,Experiment in Terror,Blake Edwards,1962,en,/knD04Xa9nYoGYQARpN2fXHf2JAg.jpg
45000,The Devil's Envoys,Marcel Carné,1942,fr,/d746S4n3dxSfDaUcGcCS8AbOIjN.jpg
45218,The River,Jean Renoir,1951,en,/rC1k4xkffb5sdQlktiP2TyiBxT2.jpg
45555,God's Angry Man,Werner Herzog,1983,de,/9sfJnGPU4kcxZ21EGFJIZU1WpL7.jpg
46326,Port of Shadows,Marcel Carné,1938,fr,/3uZ2lPb0y3A7nblOdZfmnjvn7fD.jpg
46492,Sound of the Mountain,Mikio Naruse,1954,ja,/mzdKn2Eo5rZCV3fzBjVdxAI0KM8.jpg
46785,The White Balloon,Jafar Panahi,1995,fa,/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg
46919,Daisies,Věra Chytilová,1966,cs,/8sxMhdn3i1Pn8OlGCBBjr9rjP1y.jpg
47060,The Hole,Tsai Ming-liang,1999,zh,/lsuvfxyCxlnkzc49hGMUmPDibCk.jpg
47184,Repast,Mikio Naruse,1951,ja,/cWK2cRiF2vW67XqWnGZ6GD8eTV.jpg
48035,Ordet,Carl Theodor Dreyer,1955,da,/q8DuzIhRsDGeCJaB9K80Fqtq6Y4.jpg
48831,My Night at Maud's,Éric Rohmer,1969,fr,/9usKgth3ROn4LwPQ7tTvxKnpBGL.jpg
49650,Daguerréotypes,Agnès Varda,1978,fr,/3XXWWVKbePGBu6Q7e0ngve5cwBB.jpg
49964,Where Is The Friend's House?,Abbas Kiarostami,1987,fa,/2rTW4s1kgvoqVs0Kv8ARle1SrkF.jpg
50013,Wings,Larisa Shepitko,1966,ru,/sGWFjV5e86OJWxs8QYbwo9MHtyL.jpg
53200,Lessons of Darkness,Werner Herzog,1992,de,/rSQaIbOQj6SUSOxr3BEiAmCoj1P.jpg
54436,La Pointe Courte,Agnès Varda,1956,fr,/jPT3tkTu9U7oXkLTSpkPBAr5dwO.jpg
54464,Fiancés on the Bridge,Agnès Varda,1962,fr,/hxz3xHtDoV5K4UJA5x8HNnSTtN0.jpg
54898,The Green Ray,Éric Rohmer,1986,fr,/1E3pliSC7lXWw6zJhMvG6ba0UNX.jpg
56616,"Goodbye, Dragon Inn",Tsai Ming-liang,2003,zh,/js1uTY2FuKspVRQWLudFkEteFI5.jpg
59143,Mikey and Nicky,Elaine May,1976,en,/fnHC1OJ1EbdOX97nmXVYrXFgiQT.jpg
64015,An Autumn's Tale,Mabel Cheung Yuen-Ting,1987,cn,/4q7CAw4lC5T12u9d2Zn9t7MuMww.jpg
70202,Patty Hearst,Paul Schrader,1988,en,/tKXJOVLOVG7lO2enlB89n9tkv7T.jpg
78033,My Heart Is That Eternal Rose,Patrick Tam Kar-Ming,1989,cn,/s6kKF7jsM7EIurwRCnQ7UqxJHdh.jpg
80080,Fruit of Paradise,Věra Chytilová,1970,cs,/m0S3Jek3a9l4LvtKkSzvZy96jbD.jpg
80243,Unknown Pleasures,Jia Zhangke,2002,zh,/nLpZP8Dt5LKeZEofnh8ZGKtBKSe.jpg
83552,This Is Not a Film,"Mojtaba Mirtahmasb,Jafar Panahi",2011,fa,/qRkxx6lIOUei4PxbFWH6UfWfUib.jpg
83761,"Life, and Nothing More…",Abbas Kiarostami,1992,fa,/100CuZjqxtcbDvZ5qPsoi1VEU5n.jpg
85129,Variety,Bette Gordon,1985,en,/xqykr3BmjnT3wQFbX26A1b7hvxL.jpg
94066,Smithereens,Susan Seidelman,1982,en,/jp29gfdiP7AxtjqzlzyaztFORMF.jpg
97640,Sleepwalk,Sara Driver,1986,en,/9BaGbw7aQ8IBKNTpNzcs6lEYv5y.jpg
100349,Slick Hare,Friz Freleng,1947,en,/oRm9Q9j8EEXTiWt5k3YHZ1aHmIL.jpg
104237,Dragon Inn,King Hu,1967,zh,/x1EVgOjZ4gfnRTFSZIsr1UoAx0W.jpg
106380,Taipei Story,Edward Yang,1985,zh,/veJ93QUnTBX4WXk5qSl1s42Uosj.jpg
108634,Typhoon Club,Shinji Sōmai,1985,ja,/jsvWuaYE1l30qR62RQA4VN98HOi.jpg
110415,Snowpiercer,Bong Joon Ho,2013,ko,/kw6YQudA0TMcNmGUGy5XIw7zbnV.jpg
115784,Moving,Shinji Sōmai,1993,ja,/20yLlHONxoc1shTuLJNjOqACcT4.jpg
117215,Demon Pond,Masahiro Shinoda,1979,ja,/aoMAhw8udztiQyolNoaXbvijHQF.jpg
119451,The Junk Shop,Juraj Herz,1965,cs,/cf3G2Lijcc6ilMZWzQmQ9NcdV6f.jpg
122188,Sada,Nobuhiko Obayashi,1998,ja,/ubkLILF2FYkm6UUK95AtX1Jng4S.jpg
123651,An Egyptian Story,Youssef Chahine,1982,ar,/z0zDBvwtKA34DKFu4TAaeOt5fWS.jpg
124517,Emotion,Nobuhiko Obayashi,1966,ja,/8eRVo8IOlctCW0jPRLJjOCn4TIz.jpg
126432,Two in the Shadow,Mikio Naruse,1967,ja,/g2vXkiwEgkL3HkDyohqx8K8PFhZ.jpg
137855,Sudden Rain,Mikio Naruse,1956,ja,/uLinlNgPPzk3pmdMpF0kgPWXRj1.jpg
144597,Black Panthers,Agnès Varda,1968,fr,/jjFtMceyaGnUYqQLP6s94TiAVLb.jpg
144599,Hello Cubans,Agnès Varda,1963,fr,/1TwQqVoKTkMoEdmVSTZXaMXzz5C.jpg
165432,The Elephant God,Satyajit Ray,1979,bn,/hTuoj57JdCLLcb52pxmXUFuhSTZ.jpg
185250,The Bitter Stems,Fernando Ayala,1956,es,/tbyOlt6BSqyFx1FpqealxlLkaeO.jpg
191531,Legend of the Mountain,King Hu,1979,zh,/94ZZwpRyTlstNNSw67jFxCJQhYr.jpg
200381,The Young Girls Turn 25,Agnès Varda,1993,fr,/moM5PJmIQ06dVqfmSwxzaDLyrmk.jpg
218660,Spacked Out,Lawrence Ah Mon,2000,cn,/iKlLh0Znnce4lQRtiz1NBSQOvaz.jpg
245891,John Wick,Chad Stahelski,2014,en,/wXqWR7dHncNRbxoEGybEy7QTe9h.jpg
255739,The White Bird Marked with Black,Yurii Illienko,1972,uk,/gZfs7wmL3jrKiCsbhYH5MoN2keb.jpg
258480,Carol,Todd Haynes,2015,en,/cJeled7EyPdur6TnCA5GYg0UVna.jpg
264290,"You've Got Beautiful Stairs, You Know...",Agnès Varda,1986,fr,/nXBPYqQP8K7MHGBVORZnRSfmXB7.jpg
266429,Killing the Devil,Ester Krumbachová,1970,cs,/h0YDsCfsRJybUZnvCixcsnDKfSr.jpg
271858,West Indies,Med Hondo,1979,fr,/2UjSnPwValu1k03iS01ngz0z1MS.jpg
279753,Alma's Rainbow,Ayoka Chenzira,1994,en,/8GZDm92ULq5qhxq7J4V9lkvCAhk.jpg
287877,"First Case, Second Case",Abbas Kiarostami,1979,fa,/bIBq8cMx0gfGIYyspI3XgoT0PNl.jpg
320006,Taxi,Jafar Panahi,2015,fa,/lY2RW6pxRYyPmrgUF0rjqbeAnTu.jpg
374052,The Love Witch,Anna Biller,2016,en,/q6mZjCwGn9KCTrStTRM88pui0is.jpg
398027,The Cruz Brothers and Miss Malloy,Kathleen Collins,1980,en,/hv1fOjFLxBWufD3cXtaZ4Qhn5Tr.jpg
474948,How Can It Be,Mira Nair,2008,en,/tR8dPYsfqlEcYTf0X4BfVSJ062v.jpg
517731,3 Faces,Jafar Panahi,2018,fa,/clpmeXLRg65zGGP1zoyYOLIakQG.jpg
560016,Monkey Man,Dev Patel,2024,en,/4lhR4L2vzzjl68P1zJyCH755Oz4.jpg
696506,Mickey 17,Bong Joon Ho,2025,en,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg
749004,Petite Maman,Céline Sciamma,2021,fr,/fxl2ARZO2vRfUGDfqSz2bostauE.jpg
792307,Poor Things,Yorgos Lanthimos,2023,en,/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg
837335,La Chimera,Alice Rohrwacher,2023,it,/lDaUha09CumsoSAt9MIRbS9WBNH.jpg
913838,All That Breathes,Shaunak Sen,2022,en,/xgTyGlmOYnDwUugITwd8MY5AQ5F.jpg
927547,All We Imagine as Light,Payal Kapadia,2024,ml,/ruImrzB4POsrgwCMozmOBV67zs5.jpg
928713,The Novelist's Film,Hong Sang-soo,2022,ko,/5o4LNNBvc0kquSMaahjT2RTGFBR.jpg
937287,Challengers,Luca Guadagnino,2024,en,/H6vke7zGiuLsz4v4RPeReb9rsv.jpg
948549,Love Lies Bleeding,Rose Glass,2024,en,/xImj8RLe39YK0lyVu9kXv7ApN8p.jpg
974521,No Bears,Jafar Panahi,2022,fa,/AqxE1Pm7EmnhKDe6pXBJF4sHLMU.jpg
1037035,Janet Planet,Annie Baker,2024,en,/qoKeP2PmDL6pshodCv6czlMZD3u.jpg
1097549,Babygirl,Halina Reijn,2024,en,/ilwO6elz3mLV9CToT7C8pjVeKX0.jpg
1108828,Girls Will Be Girls,Shuchi Talati,2024,en,/psklilaTgyczbHidamDlpFWodb0.jpg
1115379,Only the River Flows,Wei Shujun,2023,zh,/qdlcJnXY63t17xKFfROfafTbXsD.jpg
1124566,Sentimental Value,Joachim Trier,2025,no,/pz9NCWxxOk3o0W3v1Zkhawrwb4i.jpg
1136987,It's Not Me,Leos Carax,2024,fr,/wQ3T6eEVqf3ReKm0DJT8eWj03XC.jpg
1147755,Family Portrait,Lucy Kerr,2023,en,/zeaUFiPtoYkH79KH0NlN3eZ85UD.jpg
1156202,Stolen,Karan Tejpal,2023,hi,/xR5Endhjm4soY6fPgXY0jrpDZvL.jpg
1220564,The Secret Agent,Kleber Mendonça Filho,2025,pt,/rZqolYhxMEe6TZZTjSmFw9crDTD.jpg
1232493,No Other Land,"Basel Adra,Hamdan Ballal,Yuval Abraham,Rachel Szor",2024,ar,/s7XYieuZg9kMe07i9VI4bfGN4Pw.jpg
1242434,Highest 2 Lowest,Spike Lee,2025,en,/kOzwIr0R7WhaFgoYUZFLPZA2RBZ.jpg
1456349,It Was Just an Accident,Jafar Panahi,2025,fa,/eNYGj2DG3n8OrVPTfYunpPW9uas.jpg
